n   | Best Alpha | S1 (Mass)      | S2 (Hits)      | Ratio S2/S1    | S2 < S1? (nconv=2)
42  | 0.750      | 3.65408541e+14 | 3.05678878e+14 | 0.8365         | True
43  | 0.630      | 2.78063159e+13 | 2.64072289e+13 | 0.9497         | True
44  | 1.020      | 7.05625362e+16 | 6.48338203e+15 | 0.0919         | True
45  | 0.910      | 8.31861760e+15 | 6.79497492e+15 | 0.8168         | True
46  | 0.190      | 8809484.2144   | 7908134.1998   | 0.8977         | True
47  | 0.060      | 4335.9371      | 5849.3806      | 1.3490         | False
48  | 0.650      | 1.23371373e+14 | 3.37206188e+13 | 0.2733         | True
49  | 1.060      | 5.48505119e+17 | 5.60901048e+17 | 1.0226         | False
50  | 0.790      | 4.30358179e+14 | 4.48717893e+14 | 1.0427         | False
51  | 0.640      | 7.07635274e+13 | 7.24033564e+13 | 1.0232         | False
52  | 0.770      | 1.41971667e+15 | 1.12707025e+15 | 0.7939         | True
53  | 0.190      | 1.13340017e+07 | 1.14120349e+07 | 1.0069         | False
54  | 0.540      | 1.41404108e+13 | 1.73061066e+13 | 1.2239         | False
55  | 0.630      | 8.20237944e+13 | 3.50666610e+13 | 0.4275         | True
56  | 0.810      | 1.18333315e+16 | 1.26121575e+16 | 1.0658         | False
57  | 0.640      | 4.74939835e+14 | 2.38956864e+14 | 0.5031         | True
58  | 1.090      | 1.15170416e+18 | 1.25113780e+18 | 1.0863         | False
59  | 0.930      | 4.20326452e+16 | 3.34660475e+16 | 0.7962         | True
60  | 0.330      | 2.91514283e+10 | 2.01924992e+10 | 0.6927         | True
61  | 0.620      | 9.53181251e+13 | 7.57119808e+13 | 0.7943         | True
62  | 0.350      | 3.40314798e+10 | 4.45516848e+10 | 1.3091         | False
63  | 0.860      | 1.89102102e+16 | 2.00272770e+16 | 1.0591         | False
64  | 0.370      | 7.96308210e+10 | 7.92026398e+10 | 0.9946         | True
65  | 0.580      | 3.90288864e+13 | 2.54699968e+13 | 0.6526         | True
66  | 0.710      | 2.61662377e+15 | 3.13716012e+15 | 1.1989         | False
67  | 0.270      | 3.57901664e+09 | 2.91926001e+09 | 0.8157         | True
68  | 1.020      | 4.21832772e+17 | 9.83905580e+16 | 0.2332         | True
69  | 0.750      | 2.46613284e+15 | 2.59865223e+15 | 1.0537         | False
70  | 0.070      | 18336.5886     | 27155.1622     | 1.4809         | False
71  | 0.260      | 6.44556829e+08 | 7.44102620e+08 | 1.1544         | False
72  | 0.610      | 7.16192013e+13 | 7.39855304e+13 | 1.0330         | False
73  | 0.190      | 3.63604721e+07 | 4.57493646e+07 | 1.2582         | False
74  | 0.200      | 1.95690005e+08 | 1.71444073e+08 | 0.8761         | True
75  | 1.360      | 4.46181494e+20 | 1.88932917e+19 | 0.0423         | True
76  | 0.560      | 4.42008479e+13 | 3.89489063e+13 | 0.8812         | True
77  | 0.170      | 1.60902974e+07 | 2.23857587e+07 | 1.3913         | False
78  | 0.060      | 11289.7050     | 17862.1003     | 1.5822         | False
79  | 0.430      | 5.25039178e+11 | 5.72063941e+11 | 1.0896         | False
80  | 0.440      | 2.44977847e+12 | 1.93880740e+12 | 0.7914         | True
81  | 0.610      | 5.87232883e+14 | 1.67713415e+14 | 0.2856         | True
82  | 1.200      | 1.71064232e+20 | 1.60604467e+20 | 0.9389         | True
83  | 0.910      | 4.83930412e+17 | 7.81885545e+16 | 0.1616         | True
84  | 0.500      | 9.79813408e+12 | 1.21126458e+13 | 1.2362         | False
85  | 0.070      | 25806.4700     | 41988.9738     | 1.6271         | False
86  | 0.900      | 7.42962484e+17 | 2.39363348e+17 | 0.3222         | True
87  | 0.490      | 1.74839428e+13 | 1.72466625e+13 | 0.9864         | True
88  | 1.340      | 1.94135474e+20 | 1.33600829e+20 | 0.6882         | True
89  | 0.490      | 4.48302733e+13 | 5.46346198e+13 | 1.2187         | False
90  | 0.530      | 6.89908787e+13 | 6.85771677e+13 | 0.9940         | True
91  | 0.760      | 8.05595028e+15 | 6.89396917e+15 | 0.8558         | True
92  | 0.120      | 1620018.8287   | 1805825.1070   | 1.1147         | False
93  | 0.750      | 6.46292221e+15 | 5.24641424e+15 | 0.8118         | True
94  | 0.440      | 3.65627691e+12 | 3.12263472e+12 | 0.8540         | True
95  | 0.350      | 3.18357783e+11 | 2.92931146e+11 | 0.9201         | True
96  | 0.160      | 1.98629595e+07 | 2.24712453e+07 | 1.1313         | False
97  | 0.410      | 1.55746576e+12 | 1.30972679e+12 | 0.8409         | True
98  | 0.750      | 4.21679617e+16 | 4.42138338e+16 | 1.0485         | False
99  | 0.630      | 1.20312642e+15 | 8.69159966e+14 | 0.7224         | True
100 | 0.060      | 21393.9137     | 31795.0383     | 1.4862         | False
101 | 1.200      | 2.09243829e+20 | 2.41605678e+20 | 1.1547         | False
102 | 0.510      | 1.21764712e+14 | 1.18871355e+14 | 0.9762         | True
n   | Best Alpha | S1 (Mass)      | S2 (Hits)      | Ratio S2/S1    | S2 < S1? (nconv=19)
--------------------------------------------------------------------------------
2   | 2.000      | 4.52267969e+10 | 6.18229690e+09 | 0.1367         | True
3   | 2.000      | 3.10348344e+13 | 7.14920228e+10 | 0.0023         | True
4   | 1.280      | 3.60671823e+09 | 6.76325188e+07 | 0.0188         | True
5   | 0.140      | 509.7401       | 290.6249       | 0.5701         | True
6   | 2.000      | 7.58795037e+14 | 1.32794839e+14 | 0.1750         | True
7   | 1.020      | 4.16195302e+10 | 3.54946113e+10 | 0.8528         | True
8   | 1.840      | 2.37762748e+17 | 4.66272751e+14 | 0.0020         | True
9   | 1.860      | 9.98734976e+16 | 9.75667507e+15 | 0.0977         | True
10  | 2.000      | 2.72497641e+17 | 8.79279667e+16 | 0.3227         | True
11  | 0.180      | 18658.7559     | 16551.0655     | 0.8870         | True
12  | 1.400      | 7.32444001e+15 | 1.19608675e+15 | 0.1633         | True
13  | 1.240      | 6.11265409e+14 | 2.45421061e+13 | 0.0401         | True
14  | 0.990      | 7.23619419e+13 | 1.05343565e+13 | 0.1456         | True
15  | 0.310      | 2.90295956e+07 | 3.19372901e+07 | 1.1002         | False
16  | 0.120      | 11996.2402     | 10217.0310     | 0.8517         | True
17  | 1.300      | 1.00366919e+17 | 1.40266197e+16 | 0.1398         | True
18  | 2.000      | 1.28815869e+20 | 2.85752845e+18 | 0.0222         | True
19  | 0.140      | 62464.1247     | 60430.6917     | 0.9674         | True
20  | 0.190      | 327507.9929    | 305739.8996    | 0.9335         | True
21  | 0.060      | 797.3777       | 1076.7964      | 1.3504         | False
22  | 0.120      | 16473.5637     | 16820.3893     | 1.0211         | False
23  | 0.710      | 5.55834089e+12 | 4.22301309e+12 | 0.7598         | True
24  | 0.060      | 1420.4499      | 1826.8808      | 1.2861         | False
25  | 0.180      | 1275174.5474   | 1160980.5369   | 0.9104         | True
26  | 0.700      | 2.97117502e+13 | 2.88931920e+13 | 0.9725         | True
27  | 0.080      | 5912.7736      | 6181.9164      | 1.0455         | False
28  | 0.060      | 1347.6029      | 2049.7142      | 1.5210         | False
29  | 0.160      | 521745.1475    | 510532.2473    | 0.9785         | True
30  | 0.970      | 4.49502365e+16 | 1.15701531e+16 | 0.2574         | True
31  | 0.740      | 1.33867817e+14 | 1.23223256e+14 | 0.9205         | True
32  | 1.100      | 4.09755881e+17 | 4.11067832e+17 | 1.0032         | False
33  | 0.750      | 1.68986008e+14 | 1.71645579e+14 | 1.0157         | False
34  | 0.770      | 3.39539489e+14 | 7.53891206e+13 | 0.2220         | True
35  | 1.310      | 2.69448610e+18 | 8.08051532e+17 | 0.2999         | True
36  | 0.920      | 2.14109037e+16 | 2.14572588e+16 | 1.0022         | False
37  | 0.630      | 9.20350550e+12 | 5.63860446e+12 | 0.6127         | True
38  | 0.060      | 3549.5080      | 4680.5929      | 1.3187         | False
39  | 0.110      | 98820.2124     | 94410.4933     | 0.9554         | True
40  | 0.520      | 2.57331238e+12 | 2.40641940e+12 | 0.9351         | True
41  | 0.580      | 1.04739388e+13 | 8.00355129e+12 | 0.7641         | True
42  | 0.780      | 4.12598176e+15 | 3.38653593e+15 | 0.8208         | True
43  | 0.590      | 5.39225374e+13 | 5.11972227e+13 | 0.9495         | True
44  | 1.050      | 9.85770800e+17 | 7.06608550e+16 | 0.0717         | True
45  | 0.960      | 1.42026700e+17 | 1.14219198e+17 | 0.8042         | True
46  | 0.170      | 6351335.2146   | 5709716.7644   | 0.8990         | True
47  | 0.050      | 2628.4075      | 3556.0773      | 1.3529         | False
48  | 0.670      | 1.12000630e+15 | 2.83387410e+14 | 0.2530         | True
49  | 1.160      | 2.45771412e+19 | 2.50532251e+19 | 1.0194         | False
50  | 0.800      | 3.16972531e+15 | 3.25503446e+15 | 1.0269         | False
51  | 0.650      | 5.09356517e+14 | 5.18676827e+14 | 1.0183         | False
52  | 0.770      | 9.38050326e+15 | 7.40360569e+15 | 0.7893         | True
53  | 0.170      | 8127139.3468   | 8187530.3731   | 1.0074         | False
54  | 0.570      | 1.63584377e+14 | 1.99654922e+14 | 1.2205         | False
55  | 0.640      | 6.03584355e+14 | 2.32406440e+14 | 0.3850         | True
56  | 0.830      | 1.31192103e+17 | 1.38464468e+17 | 1.0554         | False
57  | 0.640      | 2.94202823e+15 | 1.47401895e+15 | 0.5010         | True
58  | 1.150      | 2.76781555e+19 | 2.97352307e+19 | 1.0743         | False
59  | 0.990      | 9.91835602e+17 | 7.26462351e+17 | 0.7324         | True
60  | 0.280      | 1.16205493e+10 | 8.05742634e+09 | 0.6934         | True
61  | 0.620      | 5.44215837e+14 | 4.28916470e+14 | 0.7881         | True
62  | 0.290      | 9.99015438e+09 | 1.30881589e+10 | 1.3101         | False
63  | 0.900      | 3.01329981e+17 | 3.17290994e+17 | 1.0530         | False
64  | 0.310      | 2.70154128e+10 | 2.68811052e+10 | 0.9950         | True
65  | 0.580      | 2.05298320e+14 | 1.30010546e+14 | 0.6333         | True
66  | 0.750      | 4.23746266e+16 | 5.03858385e+16 | 1.1891         | False
67  | 0.230      | 1.49360734e+09 | 1.22020289e+09 | 0.8170         | True
68  | 1.060      | 7.47754716e+18 | 1.50437896e+18 | 0.2012         | True
69  | 0.790      | 3.75203943e+16 | 3.93745419e+16 | 1.0494         | False
70  | 0.070      | 25937.1059     | 38457.2200     | 1.4827         | False
71  | 0.230      | 4.15341256e+08 | 4.79613382e+08 | 1.1547         | False
72  | 0.620      | 4.83555335e+14 | 4.90723209e+14 | 1.0148         | False
73  | 0.170      | 2.61174412e+07 | 3.28789731e+07 | 1.2589         | False
74  | 0.170      | 8.07472049e+07 | 7.08480006e+07 | 0.8774         | True
75  | 1.410      | 1.16750500e+22 | 3.66813638e+20 | 0.0314         | True
76  | 0.560      | 2.38962395e+14 | 2.08937729e+14 | 0.8744         | True
77  | 0.150      | 1.00822630e+07 | 1.40348683e+07 | 1.3920         | False
78  | 0.060      | 15502.0891     | 24559.3376     | 1.5843         | False
79  | 0.430      | 2.03871228e+12 | 2.18784245e+12 | 1.0731         | False
80  | 0.450      | 1.53301494e+13 | 1.16442179e+13 | 0.7596         | True
81  | 0.620      | 4.68579944e+15 | 1.19204764e+15 | 0.2544         | True
82  | 1.280      | 6.73365631e+21 | 6.28002821e+21 | 0.9326         | True
83  | 0.940      | 8.22683725e+18 | 1.07568949e+18 | 0.1308         | True
84  | 0.500      | 4.65178709e+13 | 5.68786506e+13 | 1.2227         | False
85  | 0.070      | 36895.7812     | 60041.4400     | 1.6273         | False
86  | 0.960      | 2.03856679e+19 | 6.27666634e+18 | 0.3079         | True
87  | 0.490      | 8.92419267e+13 | 8.76910004e+13 | 0.9826         | True
88  | 1.460      | 1.07142789e+22 | 7.09541214e+21 | 0.6622         | True
89  | 0.510      | 4.55380354e+14 | 5.50403559e+14 | 1.2087         | False
90  | 0.530      | 3.93438011e+14 | 3.84794585e+14 | 0.9780         | True
91  | 0.800      | 1.33180749e+17 | 1.09755657e+17 | 0.8241         | True
92  | 0.110      | 1440302.4157   | 1608822.8992   | 1.1170         | False
93  | 0.770      | 6.66157426e+16 | 5.24362514e+16 | 0.7871         | True
94  | 0.440      | 1.67730168e+13 | 1.41661004e+13 | 0.8446         | True
95  | 0.300      | 1.47234722e+11 | 1.35548061e+11 | 0.9206         | True
96  | 0.140      | 1.14864770e+07 | 1.30040147e+07 | 1.1321         | False
97  | 0.340      | 4.70490472e+11 | 3.96630810e+11 | 0.8430         | True
98  | 0.760      | 4.17943795e+17 | 4.34095989e+17 | 1.0386         | False
99  | 0.650      | 1.23280349e+16 | 8.36986319e+15 | 0.6789         | True
100 | 0.060      | 30391.4306     | 45253.4500     | 1.4890         | False
101 | 1.340      | 1.99015765e+22 | 2.26003462e+22 | 1.1356         | False
102 | 0.520      | 9.32349477e+14 | 8.99629097e+14 | 0.9649         | True
